"","x_vals","mean.h"
"h223","2021-02-01",-9.40067849406938
"h224","2021-02-02",-9.43607928265126
"h225","2021-02-03",-9.49719382892315
"h226","2021-02-04",-9.55094089835459
"h227","2021-02-05",-9.61263396603857
"h228","2021-02-08",-9.6607256372682
"h229","2021-02-09",-9.7060352049121
"h230","2021-02-10",-9.73992000627813
"h231","2021-02-11",-9.75722727903672
"h232","2021-02-12",-9.76730774657563
"h233","2021-02-16",-9.76471563500514
"h234","2021-02-17",-9.75086401297919
"h235","2021-02-18",-9.71846354508266
"h236","2021-02-19",-9.67932564883189
"h237","2021-02-22",-9.62181697301969
"h238","2021-02-23",-9.55030539921343
"h239","2021-02-24",-9.47309906099428
"h240","2021-02-25",-9.39525321447268
"h241","2021-02-26",-9.34073951093352
"h242","2021-03-01",-9.31427990835771
"h243","2021-03-02",-9.33568700682259
"h244","2021-03-03",-9.35115343867771
"h245","2021-03-04",-9.35229557753894
"h246","2021-03-05",-9.36809628458506
"h247","2021-03-08",-9.4035497790525
"h248","2021-03-09",-9.43414104449839
"h249","2021-03-10",-9.45972509625257
"h250","2021-03-11",-9.50004099190411
"h251","2021-03-12",-9.53898287548905
"h252","2021-03-15",-9.5797759347208
"h253","2021-03-16",-9.6198353775921
"h254","2021-03-17",-9.64935913238778
"h255","2021-03-18",-9.67480927111439
"h256","2021-03-19",-9.69312493397953
"h257","2021-03-22",-9.71636338653316
"h258","2021-03-23",-9.71931352874312
"h259","2021-03-24",-9.73358769796956
"h260","2021-03-25",-9.74666651560465
"h261","2021-03-26",-9.75438624246452
"h262","2021-03-29",-9.79685185450788
"h263","2021-03-30",-9.82834909344492
"h264","2021-03-31",-9.85105161866714
"h265","2021-04-01",-9.86618411813784
"h266","2021-04-05",-9.88090107620839
"h267","2021-04-06",-9.92234070713277
"h268","2021-04-07",-9.9500726906827
"h269","2021-04-08",-9.96532458764028
"h270","2021-04-09",-9.97353209079556
"h271","2021-04-12",-9.98682856829402
"h272","2021-04-13",-9.99939301039128
"h273","2021-04-14",-10.0018531871197
"h274","2021-04-15",-9.99078207504064
"h275","2021-04-16",-9.98814211864982
"h276","2021-04-19",-9.98254787802265
"h277","2021-04-20",-9.96659259140027
"h278","2021-04-21",-9.9550077029906
"h279","2021-04-22",-9.95159079948552
"h280","2021-04-23",-9.95254572447233
"h281","2021-04-26",-9.95363510752202
"h282","2021-04-27",-9.93914968455978
"h283","2021-04-28",-9.91435389286658
"h284","2021-04-29",-9.88643535175413
"h285","2021-04-30",-9.86659514856333
"h286","2021-05-03",-9.84914088306688
"h287","2021-05-04",-9.82950700301834
"h288","2021-05-05",-9.79745386963186
"h289","2021-05-06",-9.76281216002109
"h290","2021-05-07",-9.73313889425875
"h291","2021-05-10",-9.7044554740875
"h292","2021-05-11",-9.67166022564043
"h293","2021-05-12",-9.67382631801573
"h294","2021-05-13",-9.72245444537571
"h295","2021-05-14",-9.77670831801967
"h296","2021-05-17",-9.85761419959527
"h297","2021-05-18",-9.9283286273635
"h298","2021-05-19",-9.99627809494896
"h299","2021-05-20",-10.0611941962684
"h300","2021-05-21",-10.1287063563612
"h301","2021-05-24",-10.18687781665
"h302","2021-05-25",-10.2474878722952
"h303","2021-05-26",-10.3009304985597
"h304","2021-05-27",-10.3448385228757
"h305","2021-05-28",-10.3900662185911
"h306","2021-06-01",-10.426759063206
"h307","2021-06-02",-10.4548706829635
"h308","2021-06-03",-10.4717978138076
"h309","2021-06-04",-10.4812347184175
"h310","2021-06-07",-10.4878082463997
"h311","2021-06-08",-10.4947145296378
"h312","2021-06-09",-10.4883857008003
"h313","2021-06-10",-10.4736169093588
"h314","2021-06-11",-10.4527844334343
"h315","2021-06-14",-10.418366196984
"h316","2021-06-15",-10.3642159846859
"h317","2021-06-16",-10.2973933780675
"h318","2021-06-17",-10.2304761464593
"h319","2021-06-18",-10.1586471334039
"h320","2021-06-21",-10.1356184965916
"h321","2021-06-22",-10.1495974269694
"h322","2021-06-23",-10.158830725514
"h323","2021-06-24",-10.1501387024886
"h324","2021-06-25",-10.1546843061191
"h325","2021-06-28",-10.1516144232742
"h326","2021-06-29",-10.1422756518175
"h327","2021-06-30",-10.1226667570739
"h328","2021-07-01",-10.1011130887015
"h329","2021-07-02",-10.06869630706
"h330","2021-07-06",-10.0312723803242
"h331","2021-07-07",-9.98993038216824
"h332","2021-07-08",-9.9423678368955
"h333","2021-07-09",-9.90901460596773
"h334","2021-07-12",-9.90083527542946
"h335","2021-07-13",-9.88593758253691
"h336","2021-07-14",-9.86286916197391
"h337","2021-07-15",-9.82646080489384
"h338","2021-07-16",-9.77039013597849
"h339","2021-07-19",-9.72268783314091
"h340","2021-07-20",-9.74278977371305
"h341","2021-07-21",-9.79103864349449
"h342","2021-07-22",-9.84081123561072
"h343","2021-07-23",-9.88456871508742
"h344","2021-07-26",-9.93469900933816
"h345","2021-07-27",-9.97581893591526
"h346","2021-07-28",-10.0158540247135
"h347","2021-07-29",-10.0536739460266
"h348","2021-07-30",-10.0918106074525
"h349","2021-08-02",-10.1285891997186
"h350","2021-08-03",-10.1552879978597
"h351","2021-08-04",-10.189195579239
"h352","2021-08-05",-10.2294959643508
"h353","2021-08-06",-10.2733286633233
"h354","2021-08-09",-10.3049300584184
"h355","2021-08-10",-10.3281006073413
"h356","2021-08-11",-10.3446697157462
"h357","2021-08-12",-10.3542225523142
"h358","2021-08-13",-10.354377433483
"h359","2021-08-16",-10.3443293276449
"h360","2021-08-17",-10.326672558049
"h361","2021-08-18",-10.3152530860091
"h362","2021-08-19",-10.3227142472279
"h363","2021-08-20",-10.3278009511716
"h364","2021-08-23",-10.3293848070601
"h365","2021-08-24",-10.3450618335802
"h366","2021-08-25",-10.3533717921054
"h367","2021-08-26",-10.3466732217588
"h368","2021-08-27",-10.3389843437251
"h369","2021-08-30",-10.335390433216
"h370","2021-08-31",-10.3205531919523
"h371","2021-09-01",-10.2955572511363
"h372","2021-09-02",-10.2660232883086
"h373","2021-09-03",-10.2263173571174
"h374","2021-09-07",-10.1802933720192
"h375","2021-09-08",-10.1349190587621
"h376","2021-09-09",-10.0802510386374
"h377","2021-09-10",-10.0327451589327
"h378","2021-09-13",-9.98716930383022
"h379","2021-09-14",-9.9409975019074
"h380","2021-09-15",-9.90031906306955
"h381","2021-09-16",-9.85272012803988
"h382","2021-09-17",-9.7942129593363
"h383","2021-09-20",-9.7312999714481
"h384","2021-09-21",-9.71703306992879
"h385","2021-09-22",-9.69118435335723
"h386","2021-09-23",-9.67549472895536
"h387","2021-09-24",-9.68614827410523
"h388","2021-09-27",-9.68282698337219
"h389","2021-09-28",-9.6660868628325
"h390","2021-09-29",-9.67709767064837
"h391","2021-09-30",-9.67459249623725
"h392","2021-10-01",-9.69894900139147
"h393","2021-10-04",-9.72962450081708
"h394","2021-10-05",-9.7707057187453
"h395","2021-10-06",-9.81690159827942
"h396","2021-10-07",-9.85411608542969
"h397","2021-10-08",-9.89397564962387
"h398","2021-10-11",-9.92285087311211
"h399","2021-10-12",-9.94300128020398
"h400","2021-10-13",-9.95603108767583
"h401","2021-10-14",-9.95606954085822
"h402","2021-10-15",-9.99785006086573
"h403","2021-10-18",-10.056055285318
"h404","2021-10-19",-10.0978643140079
"h405","2021-10-20",-10.1437143119517
"h406","2021-10-21",-10.1892564419547
"h407","2021-10-22",-10.2284520649294
"h408","2021-10-25",-10.2577185466745
"h409","2021-10-26",-10.2754024951589
"h410","2021-10-27",-10.2788194469642
"h411","2021-10-28",-10.2944850408347
"h412","2021-10-29",-10.3041791347688
"h413","2021-11-01",-10.3088992909377
"h414","2021-11-02",-10.3123095880651
"h415","2021-11-03",-10.3051974897483
"h416","2021-11-04",-10.29123479382
"h417","2021-11-05",-10.2670731148215
"h418","2021-11-08",-10.2472188837757
"h419","2021-11-09",-10.2099322852813
"h420","2021-11-10",-10.1711053445301
"h421","2021-11-11",-10.1331718204166
"h422","2021-11-12",-10.0876694429025
"h423","2021-11-15",-10.0362808016073
"h424","2021-11-16",-9.97605008966116
"h425","2021-11-17",-9.90153773684088
"h426","2021-11-18",-9.82616958230694
"h427","2021-11-19",-9.74080625592332
"h428","2021-11-22",-9.64889258830927
"h429","2021-11-23",-9.54665564742798
"h430","2021-11-24",-9.44294752070096
"h431","2021-11-26",-9.3406504422406
"h432","2021-11-29",-9.31335887617558
"h433","2021-11-30",-9.28118043576743
"h434","2021-12-01",-9.27148125242287
"h435","2021-12-02",-9.26024423920999
"h436","2021-12-03",-9.25759326673469
"h437","2021-12-06",-9.24400866647328
"h438","2021-12-07",-9.24267683537612
"h439","2021-12-08",-9.27034189242289
"h440","2021-12-09",-9.28473555710041
"h441","2021-12-10",-9.28975071480831
"h442","2021-12-13",-9.28516312365947
"h443","2021-12-14",-9.27013663992038
"h444","2021-12-15",-9.2436403410029
"h445","2021-12-16",-9.22147082087184
"h446","2021-12-17",-9.18928197971641
"h447","2021-12-20",-9.1680506219737
"h448","2021-12-21",-9.15730864110393
"h449","2021-12-22",-9.17633799607218
"h450","2021-12-23",-9.19081392832893
"h451","2021-12-27",-9.19790497687991
"h452","2021-12-28",-9.20625896085682
"h453","2021-12-29",-9.20469186242244
"h454","2021-12-30",-9.19624874293039
"h455","2021-12-31",-9.17769467399829
"h456","2022-01-03",-9.14568053207223
"h457","2022-01-04",-9.10854286316264
"h458","2022-01-05",-9.07033504868369
"h459","2022-01-06",-9.03715012929415
"h460","2022-01-07",-8.99775316229234
"h461","2022-01-10",-8.9458189483626
"h462","2022-01-11",-8.88944719749722
"h463","2022-01-12",-8.82443088360825
"h464","2022-01-13",-8.75028276960591
"h465","2022-01-14",-8.66883302326907
"h466","2022-01-18",-8.58401968094948
"h467","2022-01-19",-8.50087246713279
"h468","2022-01-20",-8.41927868327207
"h469","2022-01-21",-8.33290882017507
"h470","2022-01-24",-8.24668391996508
"h471","2022-01-25",-8.14626271068341
"h472","2022-01-26",-8.04437126849445
"h473","2022-01-27",-7.92765691627872
"h474","2022-01-28",-7.80035018870158
"h475","2022-01-31",-7.67376128307266
"h476","2022-02-01",-7.54742189647289
"h477","2022-02-02",-7.41841910312055
"h478","2022-02-03",-7.27954768518773
"h479","2022-02-04",-7.13571052629172
"h480","2022-02-07",-6.98182543967422
"h481","2022-02-08",-6.82501707851519
"h482","2022-02-09",-6.66192502416042
"h483","2022-02-10",-6.48537111967292
"h484","2022-02-11",-6.30221276344392
