"","x_vals","mean.h"
"h217",2018-11-09,-8.49002890502296
"h218",2018-11-12,-8.47147893099821
"h219",2018-11-13,-8.47123748648842
"h220",2018-11-14,-8.46347023371372
"h221",2018-11-15,-8.4576458090464
"h222",2018-11-16,-8.44813724034818
"h223",2018-11-19,-8.42320088869419
"h224",2018-11-20,-8.40829202981036
"h225",2018-11-21,-8.39882200219145
"h226",2018-11-23,-8.37578139769083
"h227",2018-11-26,-8.34089061504559
"h228",2018-11-27,-8.31691672359032
"h229",2018-11-28,-8.28814366608593
"h230",2018-11-29,-8.27331328628249
"h231",2018-11-30,-8.24872171037812
"h232",2018-12-03,-8.21739784263996
"h233",2018-12-04,-8.17897067303647
"h234",2018-12-06,-8.18343009038185
"h235",2018-12-07,-8.17504272721257
"h236",2018-12-10,-8.18066274946261
"h237",2018-12-11,-8.16911706110222
"h238",2018-12-12,-8.14978338231935
"h239",2018-12-13,-8.13103769430674
"h240",2018-12-14,-8.10341629811084
"h241",2018-12-17,-8.07963609650664
"h242",2018-12-18,-8.06289363498637
"h243",2018-12-19,-8.03822917576615
"h244",2018-12-20,-8.01550483199197
"h245",2018-12-21,-7.99779843312286
"h246",2018-12-24,-7.98900172299132
"h247",2018-12-26,-7.99595838396417
"h248",2018-12-27,-8.0703662489515
"h249",2018-12-28,-8.13529916552723
"h250",2018-12-31,-8.18102328467403
"h251",2019-01-02,-8.22440051671755
"h252",2019-01-03,-8.26126764150313
"h253",2019-01-04,-8.32051616063143
"h254",2019-01-07,-8.42246997684728
"h255",2019-01-08,-8.51949357795382
"h256",2019-01-09,-8.60427828861181
"h257",2019-01-10,-8.68038058350045
"h258",2019-01-11,-8.74974323339058
"h259",2019-01-14,-8.81176887786548
"h260",2019-01-15,-8.86352228015727
"h261",2019-01-16,-8.91683063168965
"h262",2019-01-17,-8.96241049217849
"h263",2019-01-18,-9.002647641679
"h264",2019-01-22,-9.05553163671797
"h265",2019-01-23,-9.12784777077192
"h266",2019-01-24,-9.18686354082103
"h267",2019-01-25,-9.23673311939978
"h268",2019-01-28,-9.28469013919826
"h269",2019-01-29,-9.32911443986396
"h270",2019-01-30,-9.36892285372141
"h271",2019-01-31,-9.43941741979178
"h272",2019-02-01,-9.5080634839362
"h273",2019-02-04,-9.56771968042887
"h274",2019-02-05,-9.6233218331268
"h275",2019-02-06,-9.67097023205816
"h276",2019-02-07,-9.70892098923899
"h277",2019-02-08,-9.75494183206834
"h278",2019-02-11,-9.78312078159543
"h279",2019-02-12,-9.80184279110114
"h280",2019-02-13,-9.84780888988196
"h281",2019-02-14,-9.88135387545784
"h282",2019-02-15,-9.90224706285306
"h283",2019-02-19,-9.94281881597551
"h284",2019-02-20,-9.97345634812623
"h285",2019-02-21,-9.99886500490115
"h286",2019-02-22,-10.0234633025259
"h287",2019-02-25,-10.0523655308094
"h288",2019-02-26,-10.0707889702911
